email,request_epoch,response_epoch,latency_s,status_code,outcome,error
fig2+f29a57c79e-n60-r1-seat001@example.invalid,1788399874.86904,1788399877.3213801,2.4523401260375977,303,claimed,
fig2+f29a57c79e-n60-r1-seat002@example.invalid,1788399874.869178,1788399876.9817522,2.1125741004943848,303,claimed,
fig2+f29a57c79e-n60-r1-seat003@example.invalid,1788399874.8692322,1788399877.3222861,2.4530539512634277,303,claimed,
fig2+f29a57c79e-n60-r1-seat004@example.invalid,1788399874.86932,1788399877.354651,2.4853310585021973,303,claimed,
fig2+f29a57c79e-n60-r1-seat005@example.invalid,1788399874.869375,1788399877.260097,2.3907220363616943,303,claimed,
fig2+f29a57c79e-n60-r1-seat006@example.invalid,1788399874.869418,1788399877.269439,2.4000210762023926,303,claimed,
fig2+f29a57c79e-n60-r1-seat007@example.invalid,1788399874.869461,1788399877.2939541,2.4244930744171143,303,claimed,
fig2+f29a57c79e-n60-r1-seat008@example.invalid,1788399874.869537,1788399877.2928782,2.4233410358428955,303,claimed,
fig2+f29a57c79e-n60-r1-seat009@example.invalid,1788399874.869612,1788399877.2678049,2.398192882537842,303,claimed,
fig2+f29a57c79e-n60-r1-seat010@example.invalid,1788399874.869729,1788399877.383997,2.514267921447754,303,claimed,
fig2+f29a57c79e-n60-r1-seat011@example.invalid,1788399874.870019,1788399877.193163,2.32314395904541,303,claimed,
fig2+f29a57c79e-n60-r1-seat012@example.invalid,1788399874.870838,1788399877.3941681,2.5233302116394043,303,claimed,
fig2+f29a57c79e-n60-r1-seat013@example.invalid,1788399874.869487,1788399877.281128,2.4116408824920654,303,claimed,
fig2+f29a57c79e-n60-r1-seat014@example.invalid,1788399874.869519,1788399877.3203561,2.4508371353149414,303,claimed,
fig2+f29a57c79e-n60-r1-seat015@example.invalid,1788399874.8695612,1788399877.0482402,2.1786789894104004,303,claimed,
fig2+f29a57c79e-n60-r1-seat016@example.invalid,1788399874.869589,1788399877.274839,2.405249834060669,303,claimed,
fig2+f29a57c79e-n60-r1-seat017@example.invalid,1788399874.86975,1788399877.310071,2.4403209686279297,303,claimed,
fig2+f29a57c79e-n60-r1-seat018@example.invalid,1788399874.869866,1788399877.218915,2.3490490913391113,303,claimed,
fig2+f29a57c79e-n60-r1-seat019@example.invalid,1788399874.870087,1788399877.247263,2.37717604637146,303,claimed,
fig2+f29a57c79e-n60-r1-seat020@example.invalid,1788399874.87034,1788399877.200363,2.3300228118896484,303,claimed,
fig2+f29a57c79e-n60-r1-seat021@example.invalid,1788399874.8709939,1788399877.1961532,2.3251593112945557,303,claimed,
fig2+f29a57c79e-n60-r1-seat022@example.invalid,1788399874.871156,1788399876.6386318,1.7674758434295654,303,claimed,
fig2+f29a57c79e-n60-r1-seat023@example.invalid,1788399874.872295,1788399877.254358,2.382063150405884,303,claimed,
fig2+f29a57c79e-n60-r1-seat024@example.invalid,1788399874.872694,1788399877.298395,2.4257009029388428,303,claimed,
fig2+f29a57c79e-n60-r1-seat025@example.invalid,1788399874.872566,1788399877.327507,2.4549410343170166,303,claimed,
fig2+f29a57c79e-n60-r1-seat026@example.invalid,1788399874.872826,1788399876.027712,1.15488600730896,303,claimed,
fig2+f29a57c79e-n60-r1-seat027@example.invalid,1788399874.872902,1788399877.16625,2.2933480739593506,303,claimed,
fig2+f29a57c79e-n60-r1-seat028@example.invalid,1788399874.873549,1788399877.3167691,2.4432201385498047,303,claimed,
fig2+f29a57c79e-n60-r1-seat029@example.invalid,1788399874.874261,1788399877.378585,2.504324197769165,303,claimed,
fig2+f29a57c79e-n60-r1-seat030@example.invalid,1788399874.8750029,1788399877.3884249,2.5134220123291016,303,claimed,
fig2+f29a57c79e-n60-r1-seat031@example.invalid,1788399874.87736,1788399876.7455192,1.8681590557098389,303,claimed,
fig2+f29a57c79e-n60-r1-seat032@example.invalid,1788399874.87746,1788399877.162858,2.285398006439209,303,claimed,
fig2+f29a57c79e-n60-r1-seat033@example.invalid,1788399874.877773,1788399877.042231,2.1644580364227295,303,claimed,
