email,request_epoch,response_epoch,latency_s,status_code,outcome,error
fig2+f60c8ef9c8-n150-r1-seat001@example.invalid,1789422788.688681,1789422798.290394,9.601713180541992,303,claimed,
fig2+f60c8ef9c8-n150-r1-seat002@example.invalid,1789422788.688829,1789422796.071577,7.382748126983643,303,claimed,
fig2+f60c8ef9c8-n150-r1-seat003@example.invalid,1789422788.688889,1789422795.2803059,6.591416835784912,303,claimed,
fig2+f60c8ef9c8-n150-r1-seat004@example.invalid,1789422788.688977,1789422797.2357628,8.546785831451416,303,claimed,
fig2+f60c8ef9c8-n150-r1-seat005@example.invalid,1789422788.689009,1789422798.302188,9.613178968429565,303,claimed,
fig2+f60c8ef9c8-n150-r1-seat006@example.invalid,1789422788.6890502,1789422796.9762602,8.28720998764038,303,claimed,
fig2+f60c8ef9c8-n150-r1-seat007@example.invalid,1789422788.689085,1789422798.0267909,9.337705850601196,303,claimed,
fig2+f60c8ef9c8-n150-r1-seat008@example.invalid,1789422788.689147,1789422796.9759,8.286752939224243,303,claimed,
fig2+f60c8ef9c8-n150-r1-seat009@example.invalid,1789422788.689172,1789422796.857446,8.16827392578125,303,claimed,
fig2+f60c8ef9c8-n150-r1-seat010@example.invalid,1789422788.6892002,1789422797.0243342,8.335134029388428,303,claimed,
fig2+f60c8ef9c8-n150-r1-seat011@example.invalid,1789422788.6893609,1789422796.4475,7.758139133453369,303,claimed,
fig2+f60c8ef9c8-n150-r1-seat012@example.invalid,1789422788.689426,1789422796.2621021,7.572676181793213,303,claimed,
fig2+f60c8ef9c8-n150-r1-seat013@example.invalid,1789422788.689512,1789422796.755095,8.065582990646362,303,claimed,
fig2+f60c8ef9c8-n150-r1-seat014@example.invalid,1789422788.69069,1789422796.17231,7.4816200733184814,303,claimed,
fig2+f60c8ef9c8-n150-r1-seat015@example.invalid,1789422788.6911519,1789422797.048196,8.357044219970703,303,claimed,
fig2+f60c8ef9c8-n150-r1-seat016@example.invalid,1789422788.691314,1789422798.135849,9.44453501701355,303,claimed,
fig2+f60c8ef9c8-n150-r1-seat017@example.invalid,1789422788.691494,1789422798.0537999,9.362305879592896,303,claimed,
fig2+f60c8ef9c8-n150-r1-seat018@example.invalid,1789422788.6921852,1789422798.133632,9.441446781158447,303,claimed,
fig2+f60c8ef9c8-n150-r1-seat019@example.invalid,1789422788.692348,1789422798.046825,9.354476928710938,303,claimed,
fig2+f60c8ef9c8-n150-r1-seat020@example.invalid,1789422788.692653,1789422798.248568,9.555915117263794,303,claimed,
fig2+f60c8ef9c8-n150-r1-seat021@example.invalid,1789422788.693175,1789422798.079,9.385824918746948,303,claimed,
fig2+f60c8ef9c8-n150-r1-seat022@example.invalid,1789422788.693551,1789422797.0879319,8.394380807876587,303,claimed,
fig2+f60c8ef9c8-n150-r1-seat023@example.invalid,1789422788.693769,1789422798.0260649,9.332295894622803,303,claimed,
fig2+f60c8ef9c8-n150-r1-seat024@example.invalid,1789422788.696342,1789422798.084749,9.388406991958618,303,claimed,
fig2+f60c8ef9c8-n150-r1-seat025@example.invalid,1789422788.6992562,1789422796.972416,8.273159742355347,303,claimed,
fig2+f60c8ef9c8-n150-r1-seat026@example.invalid,1789422788.699657,1789422798.120325,9.420668125152588,303,claimed,
fig2+f60c8ef9c8-n150-r1-seat027@example.invalid,1789422788.699882,1789422796.103916,7.404033899307251,303,claimed,
fig2+f60c8ef9c8-n150-r1-seat028@example.invalid,1789422788.702132,1789422796.971988,8.269855976104736,303,claimed,
fig2+f60c8ef9c8-n150-r1-seat029@example.invalid,1789422788.702921,1789422797.036104,8.33318305015564,303,claimed,
fig2+f60c8ef9c8-n150-r1-seat030@example.invalid,1789422788.704353,1789422798.097493,9.393139839172363,303,claimed,
fig2+f60c8ef9c8-n150-r1-seat031@example.invalid,1789422788.704733,1789422798.111474,9.40674114227295,303,claimed,
fig2+f60c8ef9c8-n150-r1-seat032@example.invalid,1789422788.7064252,1789422797.271461,8.565035820007324,303,claimed,
fig2+f60c8ef9c8-n150-r1-seat033@example.invalid,1789422788.6900768,1789422796.448077,7.758000135421753,303,claimed,
fig2+f60c8ef9c8-n150-r1-seat034@example.invalid,1789422788.6901178,1789422796.154421,7.464303255081177,303,claimed,
fig2+f60c8ef9c8-n150-r1-seat035@example.invalid,1789422788.690502,1789422797.623931,8.93342900276184,303,claimed,
fig2+f60c8ef9c8-n150-r1-seat036@example.invalid,1789422788.6933298,1789422797.2409978,8.547667980194092,303,claimed,
fig2+f60c8ef9c8-n150-r1-seat037@example.invalid,1789422788.6907241,1789422798.315019,9.624294757843018,303,claimed,
fig2+f60c8ef9c8-n150-r1-seat038@example.invalid,1789422788.690876,1789422798.1091788,9.418302774429321,303,claimed,
fig2+f60c8ef9c8-n150-r1-seat039@example.invalid,1789422788.6912892,1789422796.166521,7.475231885910034,303,claimed,
fig2+f60c8ef9c8-n150-r1-seat040@example.invalid,1789422788.691465,1789422796.07775,7.386285066604614,303,claimed,
fig2+f60c8ef9c8-n150-r1-seat041@example.invalid,1789422788.69153,1789422797.0844312,8.392901182174683,303,claimed,
fig2+f60c8ef9c8-n150-r1-seat042@example.invalid,1789422788.692126,1789422795.699361,7.007235050201416,303,claimed,
fig2+f60c8ef9c8-n150-r1-seat043@example.invalid,1789422788.6921558,1789422797.752641,9.060485124588013,303,claimed,
fig2+f60c8ef9c8-n150-r1-seat044@example.invalid,1789422788.692312,1789422798.258631,9.566318988800049,303,claimed,
