email,request_epoch,response_epoch,latency_s,status_code,outcome,error
fig2+5778e5663b-n30-r1-seat001@example.invalid,1788385074.373278,1788385075.722841,1.3495631217956543,303,claimed,
fig2+5778e5663b-n30-r1-seat002@example.invalid,1788385074.373409,1788385075.734932,1.361522912979126,303,claimed,
fig2+5778e5663b-n30-r1-seat003@example.invalid,1788385074.3734558,1788385075.719241,1.345785140991211,303,claimed,
fig2+5778e5663b-n30-r1-seat004@example.invalid,1788385074.373534,1788385075.726938,1.3534040451049805,303,claimed,
fig2+5778e5663b-n30-r1-seat005@example.invalid,1788385074.373624,1788385075.490358,1.1167340278625488,303,claimed,
fig2+5778e5663b-n30-r1-seat006@example.invalid,1788385074.3737128,1788385075.7062662,1.3325533866882324,303,claimed,
fig2+5778e5663b-n30-r1-seat007@example.invalid,1788385074.373863,1788385075.709336,1.3354730606079102,303,claimed,
fig2+5778e5663b-n30-r1-seat008@example.invalid,1788385074.373966,1788385075.695951,1.3219850063323975,303,claimed,
fig2+5778e5663b-n30-r1-seat009@example.invalid,1788385074.374393,1788385075.582772,1.2083790302276611,303,claimed,
fig2+5778e5663b-n30-r1-seat010@example.invalid,1788385074.373585,1788385075.5844889,1.2109038829803467,303,claimed,
fig2+5778e5663b-n30-r1-seat011@example.invalid,1788385074.3736582,1788385075.688988,1.3153297901153564,303,claimed,
fig2+5778e5663b-n30-r1-seat012@example.invalid,1788385074.373687,1788385075.33918,0.9654929637908936,503,no_seats,no_seats
fig2+5778e5663b-n30-r1-seat013@example.invalid,1788385074.3739278,1788385075.736793,1.3628652095794678,303,claimed,
fig2+5778e5663b-n30-r1-seat014@example.invalid,1788385074.3739898,1788385075.5631979,1.1892080307006836,303,claimed,
fig2+5778e5663b-n30-r1-seat015@example.invalid,1788385074.3742368,1788385075.7379332,1.3636963367462158,303,claimed,
fig2+5778e5663b-n30-r1-seat016@example.invalid,1788385074.374421,1788385075.7107651,1.3363442420959473,303,claimed,
fig2+5778e5663b-n30-r1-seat017@example.invalid,1788385074.37509,1788385075.647897,1.2728071212768555,303,claimed,
fig2+5778e5663b-n30-r1-seat018@example.invalid,1788385074.3752372,1788385075.700935,1.325697660446167,303,claimed,
fig2+5778e5663b-n30-r1-seat019@example.invalid,1788385074.375367,1788385075.722599,1.3472321033477783,303,claimed,
fig2+5778e5663b-n30-r1-seat020@example.invalid,1788385074.375615,1788385075.578938,1.2033231258392334,303,claimed,
fig2+5778e5663b-n30-r1-seat021@example.invalid,1788385074.375722,1788385075.579447,1.2037250995635986,303,claimed,
fig2+5778e5663b-n30-r1-seat022@example.invalid,1788385074.376097,1788385075.710936,1.334839105606079,303,claimed,
fig2+5778e5663b-n30-r1-seat023@example.invalid,1788385074.376171,1788385075.7329862,1.3568150997161865,303,claimed,
fig2+5778e5663b-n30-r1-seat024@example.invalid,1788385074.3764968,1788385075.703845,1.327348232269287,303,claimed,
fig2+5778e5663b-n30-r1-seat025@example.invalid,1788385074.3780951,1788385075.5372958,1.159200668334961,303,claimed,
fig2+5778e5663b-n30-r1-seat026@example.invalid,1788385074.377482,1788385075.647516,1.2700340747833252,303,claimed,
fig2+5778e5663b-n30-r1-seat027@example.invalid,1788385074.376364,1788385075.695563,1.3191990852355957,303,claimed,
fig2+5778e5663b-n30-r1-seat028@example.invalid,1788385074.378562,1788385075.753079,1.3745169639587402,303,claimed,
fig2+5778e5663b-n30-r1-seat029@example.invalid,1788385074.379221,1788385075.638036,1.258815050125122,303,claimed,
fig2+5778e5663b-n30-r1-seat030@example.invalid,1788385074.380523,1788385075.728357,1.3478341102600098,303,claimed,
